,DCM candidate,FDR,beta,beta_se,chrom,end,exonic_part_number,gene_id,has.rbm20.binding,id,is.diff,pvalue,start,statistic,strand,coord,new_coor,new_start,new_end
0,False,0.01218782097781,-0.105827589884951,0.0307572795262948,17,67311566,82,ABCA10,False,ABCA10+ABCA5.E082,True,0.000706848309524287,67310572,-3.44073310497039,-,chr17:67310572-67311566,chr17:69314431-69315425,69314431,69315425
1,False,0.01218782097781,-0.105827589884951,0.0307572795262948,17,67311566,82,ABCA5,False,ABCA10+ABCA5.E082,True,0.000706848309524287,67310572,-3.44073310497039,-,chr17:67310572-67311566,chr17:69314431-69315425,69314431,69315425
2,False,9.28527644088884e-06,0.135681969092428,0.0252041023883952,7,87041349,8,ABCB4,False,ABCB4.E008,True,2.04749909075346e-07,87041209,5.38332875345329,-,chr7:87041209-87041349,chr7:87411893-87412033,87411893,87412033
3,False,1.1834730516953e-30,0.150763001472842,0.0102966485016249,7,150728378,4,ABCB8,False,ABCB8.E004,True,1.99975476868282e-33,150728328,14.6419489262988,+,chr7:150728328-150728378,chr7:151031241-151031291,151031241,151031291
4,False,5.78225952253387e-13,0.107582288952002,0.0126465243837207,6,43399879,3,ABCC10,False,ABCC10.E003,True,4.26792377851814e-15,43399489,8.50686605171045,+,chr6:43399489-43399879,chr6:43431751-43432141,43431751,43432141
5,False,6.60908581764235e-11,-0.109897083661914,0.0142702538745006,3,183702682,26,ABCC5,False,ABCC5.E026,True,6.20544416167944e-13,183701541,-7.70113024115767,-,chr3:183701541-183702682,chr3:183983753-183984894,183983753,183984894
6,False,2.38767686319692e-05,-0.105499734305641,0.0204188462730428,1,94944279,10,ABCD3,False,ABCD3.E010,True,5.76755690160702e-07,94944080,-5.16678233896706,+,chr1:94944080-94944279,chr1:94478524-94478723,94478524,94478723
7,False,2.77168177250815e-10,0.132982615048713,0.0178660929304982,10,27052889,7,ABI1,False,ABI1.E007,True,2.89732476104364e-12,27052809,7.44329583228047,-,chr10:27052809-27052889,chr10:26763880-26763960,26763880,26763960
8,False,1.06470365452787e-09,0.102390293334223,0.0142197233621059,2,204246929,7,ABI2,False,ABI2.E007,True,1.20455650864034e-11,204246912,7.20058265036881,+,chr2:204246912-204246929,chr2:203382189-203382206,203382189,203382206
9,False,1.63000043645876e-20,-0.259705841519248,0.0231426299258475,9,133710912,2,ABL1,False,ABL1.E002,True,5.84655834825604e-23,133710453,-11.2219675270868,+,chr9:133710453-133710912,chr9:130835066-130835525,130835066,130835525
10,False,6.42583793994883e-09,-0.14515260329691,0.0211364279500909,1,179079980,7,ABL2,False,ABL2.E007,True,8.15827440877388e-11,179079716,-6.86741409852487,-,chr1:179079716-179079980,chr1:179110581-179110845,179110581,179110845
11,False,1.52638626960253e-10,-0.216809431636195,0.0287147989664521,17,1083168,28,ABR,False,ABR.E028,True,1.5322715052232e-12,1082961,-7.55044226113148,-,chr17:1082961-1083168,chr17:1179667-1179874,1179667,1179874
12,False,0.000163749145717622,-0.126048334415247,0.0268357414379911,7,22604771,2,AC002480.3,False,AC002480.3.E002,True,4.9138075263733e-06,22604585,-4.69703193058796,+,chr7:22604585-22604771,chr7:22564966-22565152,22564966,22565152
13,False,2.44809549064956e-10,0.220007189036801,0.0294679473008185,17,45977744,3,AC003665.1,False,AC003665.1.E003,True,2.53274599141688e-12,45976670,7.46598284539114,-,chr17:45976670-45977744,chr17:47899304-47900378,47899304,47900378
14,False,1.99307610189406e-15,0.140043275772937,0.0148627952850745,17,70072874,2,AC005152.2,False,AC005152.2.E002,True,1.15269535993351e-17,70070690,9.42240494381102,-,chr17:70070690-70072874,chr17:72074549-72076733,72074549,72076733
15,False,9.3057769846793e-40,0.172007340956829,0.00969501755990953,17,70077542,3,AC005152.2,False,AC005152.2.E003,True,7.43330009989898e-43,70076079,17.7418287170626,-,chr17:70076079-70077542,chr17:72079938-72081401,72079938,72081401
16,False,8.80480854661428e-08,0.104038205911686,0.0163487301852415,17,70115589,9,AC005152.2,False,AC005152.2.E009,True,1.32885672545639e-09,70115555,6.36368725478173,-,chr17:70115555-70115589,chr17:72119414-72119448,72119414,72119448
17,False,1.3050946555487e-05,0.155658955765225,0.0293404146576573,16,4374776,1,AC005356.1,False,AC005356.1.E001,True,2.98412171428783e-07,4374668,5.30527457029652,-,chr16:4374668-4374776,chr16:4324667-4324775,4324667,4324775
18,False,1.95558677904391e-13,0.149029749048589,0.017157135803308,2,114008483,5,AC016683.6,False,AC016683.6.E005,True,1.36682895968445e-15,114008344,8.68616712935589,+,chr2:114008344-114008483,chr2:113250767-113250906,113250767,113250906
19,False,1.29166556267843e-18,0.212320954447837,0.0201073414588991,12,122239514,9,AC084018.1,False,AC084018.1.E009,True,5.57547770492078e-21,122239478,10.5593747876534,-,chr12:122239478-122239514,chr12:121801572-121801608,121801572,121801608
20,False,2.59175796549183e-22,0.234662803554691,0.0198275714382848,12,122240308,11,AC084018.1,False,AC084018.1.E011,True,8.18148146528474e-25,122239715,11.8351762990793,-,chr12:122239715-122240308,chr12:121801809-121802402,121801809,121802402
21,False,1.78004520623622e-23,-0.343164505723588,0.028049022986511,2,54756938,1,AC092839.1,False,AC092839.1.E001,True,4.97654691370054e-26,54756480,-12.234454864564,+,chr2:54756480-54756938,chr2:54529343-54529801,54529343,54529801
22,False,7.18768262557937e-11,0.115032841985395,0.014967234747359,15,84871621,5,AC103965.1,False,AC103965.1.E005,True,6.81239370801775e-13,84869961,7.68564427077573,-,chr15:84869961-84871621,chr15:84201209-84202869,84201209,84202869
23,False,1.9503128632569e-31,-0.198042662222614,0.0132817495220211,15,43641610,13,ADAL,False,ADAL.E013,True,2.9809387224698e-34,43641244,-14.9108866941257,+,chr15:43641244-43641610,chr15:43349046-43349412,43349046,43349412
24,False,1.28830817847031e-32,-0.341040269014723,0.0222680722007008,5,178578201,13,ADAMTS2,False,ADAMTS2.E013,True,1.71183362935962e-35,178577889,-15.3152130072575,-,chr5:178577889-178578201,chr5:179150888-179151200,179150888,179151200
